Facility,facility_id,Tracing Catchment
 Khombedza Health Centre,99771,Mkakawambo
 Khombedza Health Centre,99771,Mchepa
 Khombedza Health Centre,99771,Mbewa
 Khombedza Health Centre,99771,Kamongo
 Khombedza Health Centre,99771,Gaya
 Khombedza Health Centre,99771,Kamzimbe
 Khombedza Health Centre,99771,Maida
 Khombedza Health Centre,99771,Daimoni
 Khombedza Health Centre,99771,Mayani
 Khombedza Health Centre,99771,Elisa
 Khombedza Health Centre,99771,Kwachakwacha
 Khombedza Health Centre,99771,Mofati
 Khombedza Health Centre,99771,Magogogo
 Khombedza Health Centre,99771,Bulaimu
 Khombedza Health Centre,99771,Chikaonga
 Khombedza Health Centre,99771,Mphokoto 1
 Khombedza Health Centre,99771,Mphokoto 2
 Khombedza Health Centre,99771,Msamala
 Khombedza Health Centre,99771,Mponda
 Khombedza Health Centre,99771,Kwineng'ene
 Khombedza Health Centre,99771,Bakali
 Khombedza Health Centre,99771,Msumali
 Khombedza Health Centre,99771,Chitupira
 Khombedza Health Centre,99771,Kalumbi
 Khombedza Health Centre,99771,Dimba
 Khombedza Health Centre,99771,Chitewe
 Khombedza Health Centre,99771,Chindamba
 Khombedza Health Centre,99771,Ndevu
 Khombedza Health Centre,99771,Golomwa
 Khombedza Health Centre,99771,Kamphonje
 Khombedza Health Centre,99771,Msomali
 Khombedza Health Centre,99771,Shida
 Khombedza Health Centre,99771,Zingani
 Khombedza Health Centre,99771,Chitsime
